pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
Acute Myeloid Leukemia WP5293,leukem,CSF2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,BCL2A1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MPO,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIK3R3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,ARAF,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIK3R2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,NRAS,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CCND1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,AKT3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MYC,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,AKT1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,AKT2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RUNX1T1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,STAT5B,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MAP2K2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,TCF7L2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,TCF7L1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CHUK,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MAP2K1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,STAT3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MTOR,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,NFKB1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CCNA2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PER2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CCNA1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,KIT,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIK3R1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RPS6KB2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RPS6KB1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,TCF7,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,GRB2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,KRAS,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PPARD,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CEBPA,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CSF1R,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,SPI1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CEBPE,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,FLT3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,EIF4EBP1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIK3CD,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,ITGAM,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,GLI1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,IKBKB,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,FCGR1A,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MAPK3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIM2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIM1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,HRAS,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,MAPK1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,CD14,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,IKBKG,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,STAT5A,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Viral Myocarditis WP4298,viral,TGFB1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,EDN1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,ENDOG,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,IL10,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CAV1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,KRT8,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,MMP9,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,TICAM1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,IL2,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,RASA1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CD4,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,IL6,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,IFNG,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,BAX,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,BCL2,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CYCS,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,PABPC1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,MYH6,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,TLR5,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,TLR4,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,SOS1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,TLR3,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,GSK3B,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,ILK,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CD80,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,NOD2,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,TNF,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CAAP1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CHRAC1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,ACTB,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,PYCARD,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CASP8,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,SOCS1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CASP9,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CASP6,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CASP7,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,CCND1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
Acute Viral Myocarditis WP4298,viral,AKT1,WikiPathways_2024_Human,EFO_0000763,viral disease,['EFO_0005741']
